Winkel;Force left;Force right;Total press force;Kanal LENKIMAS DS;Kanal LENKIMAS OS;Kanal TARP PUANSONU;Kanal ROUND PUNCH;OS DOUBLE;DS DOUBLE;PLOTIS OS;SLIDE
18,300;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,183
18,400;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,183
18,500;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,122;1999,939;0,122
18,600;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,244
18,700;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,183;1999,939;0,183
18,800;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,183;1999,939;0,122
18,900;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,244;1999,939;0,183
19,000;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,244;1999,939;0,122
19,100;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,244;1999,939;0,183
19,200;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,305;1999,939;0,061
19,300;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,183
19,400;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;-0,061;0,183;1999,939;0,122
19,500;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,122;1999,939;0,122
19,600;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,244;1999,939;0,122
19,700;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,183;1999,939;0,122
19,800;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,183;1999,939;0,122
19,900;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,183
20,000;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,122
20,100;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,244
20,200;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,244;1999,939;0,183
20,300;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,183;1999,939;0,244
20,400;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,305;1999,939;0,122
20,500;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,122;1999,939;0,122
20,600;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,122;1999,939;0,061
20,700;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;-0,061;0,183;1999,939;0,000
20,800;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,122
20,900;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,183;1999,939;0,244
21,000;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;-0,061;0,183;1999,939;0,183
21,100;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,244;1999,939;0,183
21,200;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,183
21,300;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,244;1999,939;0,122
21,400;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,183;1999,939;0,183
21,500;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,183;1999,939;0,183
21,600;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,061;0,244;1999,939;0,122
21,700;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,000;0,122;1999,939;0,183
21,800;0,000;0,000;0,000;0,000;22,000;-22,000;-113,000;0,122;0,183;1999,939;0,183
21,900;0,000;0,000;0,000;0,000;22,000;-22,000;-121,229;0,122;0,244;1999,939;0,122
22,000;0,000;0,000;0,000;0,000;22,000;-22,000;-127,771;0,122;0,244;1999,939;0,122
22,100;0,000;0,000;0,000;0,000;22,000;-22,000;-121,229;0,000;0,305;1999,939;0,183
22,200;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,061;1999,939;0,183
22,300;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,183;1999,939;0,183
22,400;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,122
22,500;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,061;1999,939;-0,061
22,600;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,122;1999,939;0,244
22,700;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,183;0,244;1999,939;0,122
22,800;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,122;1999,939;0,122
22,900;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,061
23,000;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,122;0,305;1999,939;0,183
23,100;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,183
23,200;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,122;1999,939;0,061
23,300;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,305
23,400;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,183
23,500;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,122;1999,939;0,122
23,600;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,305;1999,939;0,183
23,700;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,122;0,122;1999,939;0,122
23,800;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,244;1999,939;0,122
23,900;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,122
24,000;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,122;0,122;1999,939;0,183
24,100;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,122;1999,939;0,183
24,200;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,122
24,300;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,122;1999,939;0,122
24,400;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,244;1999,939;0,183
24,500;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,122;1999,939;0,122
24,600;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,122
24,700;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,183
24,800;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,122;1999,939;0,244
24,900;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,122;1999,939;0,183
25,000;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,244;1999,939;0,183
25,100;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,183
25,200;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,122;1999,939;0,183
25,300;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,122;0,183;1999,939;0,122
25,400;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,122
25,500;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,122;0,183;1999,939;0,183
25,600;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,122;1999,939;0,183
25,700;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,122;0,305;1999,939;0,183
25,800;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,244;1999,939;0,183
25,900;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,122
26,000;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,061;1999,939;0,183
26,100;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,122
26,200;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,183;1999,939;0,122
26,300;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,122
26,400;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;-0,061;0,244;1999,939;0,183
26,500;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,061;0,183;1999,939;0,183
26,600;0,000;0,000;0,000;0,000;22,000;-22,000;-136,000;0,000;0,183;1999,939;0,000
